Latitude: 26.70994337, Longitude: 88.44068837
Latitude: 26.71016145, Longitude: 88.44062046
Latitude: 26.71013751, Longitude: 88.44047401
Latitude: 26.71002644, Longitude: 88.44021748
Latitude: 26.7099993, Longitude: 88.4410513
Latitude: 26.71039195, Longitude: 88.43593938
Latitude: 26.71094018, Longitude: 88.43568354
Latitude: 26.71110308, Longitude: 88.43591181
Latitude: 26.71097244, Longitude: 88.43604689
Latitude: 26.71096809, Longitude: 88.43641389
Latitude: 26.71063617, Longitude: 88.43646627
Latitude: 26.71048165, Longitude: 88.43666044
Latitude: 26.71098998, Longitude: 88.43672442
Latitude: 26.71053406, Longitude: 88.43565197
Latitude: 26.71050412, Longitude: 88.43542146
Latitude: 26.71049328, Longitude: 88.43530733
Latitude: 26.71026704, Longitude: 88.43490545
Latitude: 26.71061635, Longitude: 88.43478984
Latitude: 26.71102641, Longitude: 88.435045
Latitude: 26.7110462, Longitude: 88.43515163
Latitude: 26.71003492, Longitude: 88.43491734
Latitude: 26.71150411, Longitude: 88.43394902
Latitude: 26.71121217, Longitude: 88.4339779
Latitude: 26.7107979, Longitude: 88.43398189
Latitude: 26.71050991, Longitude: 88.4340124
Latitude: 26.71023271, Longitude: 88.43402301
Latitude: 26.71149303, Longitude: 88.43437481
Latitude: 26.71156055, Longitude: 88.43538581
Latitude: 26.71078044, Longitude: 88.43445248
Latitude: 26.71177037, Longitude: 88.43369857
Latitude: 26.71160116, Longitude: 88.43352724
Latitude: 26.71214089, Longitude: 88.43322013
Latitude: 26.71203123, Longitude: 88.4323583
Latitude: 26.71172636, Longitude: 88.43192813
Latitude: 26.71203333, Longitude: 88.43403485
Latitude: 26.71200218, Longitude: 88.43452569
Latitude: 26.71161976, Longitude: 88.43459226
Latitude: 26.71160325, Longitude: 88.44038129
Latitude: 26.71156491, Longitude: 88.43985162
Latitude: 26.7118549, Longitude: 88.4397036
Latitude: 26.71151398, Longitude: 88.43924952
Latitude: 26.71189015, Longitude: 88.4392903
Latitude: 26.71168321, Longitude: 88.44082519
Latitude: 26.71201005, Longitude: 88.44081714
Latitude: 26.71092367, Longitude: 88.44111026
Latitude: 26.71196923, Longitude: 88.44041079
Latitude: 26.71215067, Longitude: 88.44040022
Latitude: 26.71235074, Longitude: 88.44018741
Latitude: 26.71263452, Longitude: 88.44105561
Latitude: 26.71314487, Longitude: 88.4407015
Latitude: 26.71361642, Longitude: 88.44083332
Latitude: 26.71394193, Longitude: 88.44059161
Latitude: 26.71297496, Longitude: 88.44001118
Latitude: 26.70588117, Longitude: 88.42190827
Latitude: 26.70557751, Longitude: 88.42136685
Latitude: 26.70527846, Longitude: 88.42083398
Latitude: 26.70564475, Longitude: 88.42058842
Latitude: 26.7052476, Longitude: 88.42040691
Latitude: 26.70552766, Longitude: 88.41965957
Latitude: 26.70526904, Longitude: 88.42115891
Latitude: 26.70481018, Longitude: 88.42320811
Latitude: 26.7057827, Longitude: 88.42313669
Latitude: 26.70550632, Longitude: 88.42371714
Latitude: 26.70682601, Longitude: 88.42367725
Latitude: 26.7068888, Longitude: 88.42428707
Latitude: 26.70655103, Longitude: 88.42469584
Latitude: 26.70464281, Longitude: 88.42374742
Latitude: 26.70710966, Longitude: 88.42451599
Latitude: 26.70726329, Longitude: 88.42475421
Latitude: 26.70473089, Longitude: 88.42010023
Latitude: 26.70453909, Longitude: 88.4196503
Latitude: 26.70452378, Longitude: 88.4194392
Latitude: 26.70444947, Longitude: 88.41889171
Latitude: 26.70439439, Longitude: 88.41825764
Latitude: 26.70437685, Longitude: 88.41778109
Latitude: 26.70549587, Longitude: 88.41852351
Latitude: 26.70542906, Longitude: 88.41776222
Latitude: 26.70394984, Longitude: 88.42052499
Latitude: 26.70380581, Longitude: 88.42032017
Latitude: 26.70428843, Longitude: 88.42081659
Latitude: 26.70456848, Longitude: 88.42122495
Latitude: 26.70468529, Longitude: 88.42208682
Latitude: 26.70450627, Longitude: 88.42223165
Latitude: 26.704927, Longitude: 88.42258638
Latitude: 26.70376303, Longitude: 88.42152116
Latitude: 26.70458044, Longitude: 88.41736807
Latitude: 26.70459295, Longitude: 88.41666645
Latitude: 26.70307153, Longitude: 88.41513046
Latitude: 26.70325877, Longitude: 88.41599046
Latitude: 26.70234484, Longitude: 88.41571976
Latitude: 26.70476586, Longitude: 88.41735889
Latitude: 26.70542943, Longitude: 88.41733531
Latitude: 26.70417891, Longitude: 88.41717726
Latitude: 26.70371065, Longitude: 88.41782651
Latitude: 26.7030382, Longitude: 88.41710412
Latitude: 26.7038445, Longitude: 88.41971705
Latitude: 26.70341373, Longitude: 88.42016284
Latitude: 26.70655377, Longitude: 88.42108312
Latitude: 26.70653328, Longitude: 88.42128463
Latitude: 26.70650427, Longitude: 88.42190525
Latitude: 26.70647012, Longitude: 88.42234312
Latitude: 26.70665761, Longitude: 88.42237464
Latitude: 26.70688667, Longitude: 88.42261409
Latitude: 26.70735526, Longitude: 88.42230277
Latitude: 26.70654052, Longitude: 88.42022046
Latitude: 26.70655952, Longitude: 88.41971913
Latitude: 26.70659968, Longitude: 88.41869627
Latitude: 26.70601025, Longitude: 88.41813033
Latitude: 26.70668818, Longitude: 88.41797995
Latitude: 26.70619152, Longitude: 88.4172146
Latitude: 26.70698081, Longitude: 88.42001784
Latitude: 26.70709463, Longitude: 88.42003828
Latitude: 26.70740682, Longitude: 88.42029323
Latitude: 26.70740504, Longitude: 88.41998314
Latitude: 26.70739529, Longitude: 88.41938232
Latitude: 26.70744055, Longitude: 88.41810369
Latitude: 26.70749292, Longitude: 88.41769052
Latitude: 26.70750836, Longitude: 88.41755575
Latitude: 26.70710179, Longitude: 88.41732236
Latitude: 26.70685441, Longitude: 88.41707532
